requirementId,area,title,source,section,risk,owner,testInstances,testLevels,automation,evidence
QA-REQ-K-001,K,Command Palette và shortcut,Design/Frontend/Other/SignatureInteractions.md,Commands và keyboard interactions,medium,QA/Project owner,K01@ENV-D1;K01@ENV-D2;K01@ENV-A11Y;K02@ENV-D1;K03[create-section]@ENV-D1;K03[duplicate-section]@ENV-D1;K03[move-section-up]@ENV-D1;K03[move-section-down]@ENV-D1;K03[save-draft]@ENV-D1;K03[import-markdown]@ENV-D1;K03[create-report]@ENV-D1;K03[run-check]@ENV-D1;K03[open-preview]@ENV-D1;K03[toggle-focus-mode]@ENV-D1;K03[open-export]@ENV-D1;K03[open-ai-settings]@ENV-D1;K04[Ctrl+S]@ENV-D1;K04[Ctrl+S]@ENV-D2;K04[Ctrl+Shift+N]@ENV-D1;K04[Ctrl+Shift+N]@ENV-D2;K04[Ctrl+Shift+D]@ENV-D1;K04[Ctrl+Shift+D]@ENV-D2;K04[Alt+Up]@ENV-D1;K04[Alt+Up]@ENV-D2;K04[Alt+Down]@ENV-D1;K04[Alt+Down]@ENV-D2;K04[Ctrl+Enter]@ENV-D1;K04[Ctrl+Enter]@ENV-D2;K04[Ctrl+P]@ENV-D1;K04[Ctrl+P]@ENV-D2;K04[Ctrl+Shift+F]@ENV-D1;K04[Ctrl+Shift+F]@ENV-D2;K04[Ctrl+Shift+E]@ENV-D1;K04[Ctrl+Shift+E]@ENV-D2;K05@ENV-D1;K05@ENV-D2;K06@ENV-D1;K07[Ctrl+B]@ENV-D1;K07[Ctrl+I]@ENV-D1;K07[Ctrl+Backtick]@ENV-D1;K07[Ctrl+Shift+C]@ENV-D1;K07[Ctrl+Shift+T]@ENV-D1;K07[Ctrl+Shift+M]@ENV-D1;K07[Ctrl+Shift+Q]@ENV-D1;K07[Ctrl+H]@ENV-D1;K07[Ctrl+Alt+1]@ENV-D1;K07[Ctrl+Alt+2]@ENV-D1;K07[Ctrl+Alt+3]@ENV-D1,component;e2e;manual;security;unit;integration,npm:test:subsystems;npm:test:coverage,screenshot;console-network-log;actual-result;test-log;junit-or-console-summary;coverage-report;ci-run-url
QA-REQ-L-001,L,"Persistence, recovery, offline và PWA",Design/Decisions/ADR-025-indexeddb-multi-project.md,Persistence và migration,high,QA/Project owner,L01@ENV-D1;L01@ENV-D2;L02@ENV-D1;L02@ENV-D2;L03@ENV-D1;L04@ENV-D1;L05@ENV-D1;L05@ENV-D2;L05@ENV-M1;L06@ENV-D1;L06@ENV-D2;L06@ENV-M1;L07@ENV-D1;L08@ENV-D1;L08@ENV-D2;L08@ENV-M1;L09@ENV-D1;L10[FX-REC-01]@ENV-D1;L10[FX-REC-02]@ENV-D1;L10[FX-REC-03]@ENV-D1;L11@ENV-D1,integration;e2e;performance;unit;component,playwright:e2e/templates-and-offline.spec.ts;npm:test:subsystems;npm:test:coverage;npm:test:e2e,screenshot;console-network-log;actual-result;test-log;junit-or-console-summary;coverage-report;ci-run-url;playwright-report;trace
QA-REQ-M-001,M,"Responsive, accessibility, privacy và performance",Design/Conventions/TestStrategy.md,"Offline, security và browser QA",high,QA/Project owner,M01[320x568]@ENV-R1;M01[375x667]@ENV-R1;M01[768x1024]@ENV-R1;M02@ENV-M1;M03@ENV-D1;M03@ENV-D2;M03@ENV-M1;M04@ENV-D1;M04@ENV-D2;M04@ENV-A11Y;M05@ENV-D1;M05@ENV-D2;M06@ENV-D1;M06@ENV-A11Y;M07@ENV-D1;M07@ENV-D2;M08@ENV-D1;M08@ENV-D2;M09@ENV-D1;M09@ENV-D2;M10@ENV-D1;M10@ENV-D2;M11@ENV-D1;M11@ENV-D2;M12@ENV-D1;M12@ENV-D2;M13@ENV-D1;M14@ENV-D1;M15@ENV-D1;M15@ENV-D2;M16@ENV-D1;M16@ENV-D2,manual;e2e;security;performance;unit;integration;component;release,playwright:e2e/workspace-performance.spec.ts;script:scripts/check-bundle-budget.mjs;npm:test:subsystems;npm:test:coverage;npm:test:e2e;npm:test:performance;npm:test:perf:e2e;npm:check:bundle,screenshot;console-network-log;environment-version;actual-result;test-log;junit-or-console-summary;coverage-report;ci-run-url;playwright-report;trace;performance-json;bundle-budget-json
QA-REQ-N-001,N,Server và API security,Design/Security/ThreatModel.md,Server/API trust boundaries,high,QA/Project owner,N01@ENV-CI;N01@ENV-D1,integration;security;unit;component;release,script:scripts/check-production-config.mjs;npm:test:subsystems;npm:test:coverage;npm:check:production-config,screenshot;console-network-log;machine-readable-security-evidence;test-log;junit-or-console-summary;coverage-report;ci-run-url;security-summary;gate-log
QA-REQ-O-001,O,Supply-chain và release evidence,.github/workflows/ci.yml,Canonical release pipeline,high,QA/Project owner,O01@ENV-CI;O02@ENV-CI,release;security,script:scripts/check-ci-actions.mjs,screenshot;console-network-log;machine-readable-security-evidence
QA-REQ-F-002,F,Import resource exhaustion controls,Design/Security/ThreatModel.md,T8–T10,critical,QA/Security,F18@ENV-D1;F18@ENV-D2;F19@ENV-D1;F19@ENV-D2;F20@ENV-D1;F21@ENV-D1;F21@ENV-D2;F22@ENV-D1;F23@ENV-D1,integration;e2e;performance,,screenshot;console-network-log;actual-result
QA-REQ-M-002,M,"CSP, remote image và DOM sanitization",Design/Security/ThreatModel.md,T1–T3,critical,QA/Security,M17@ENV-D1;M17@ENV-D2;M18@ENV-D1;M18@ENV-D2;M19@ENV-D1;M19@ENV-D2,manual;e2e;security;performance,,screenshot;console-network-log;environment-version
QA-REQ-M-003,M,Data-at-rest privacy boundary,Design/Decisions/ADR-028-data-at-rest-encryption.md,Decision,high,QA/Security,M20@ENV-D1,manual;e2e;security;performance,,actual-result;environment-version
QA-REQ-N-002,N,Trusted ingress và shared rate limiting,Design/Security/ThreatModel.md,T7,critical,QA/Security,N02@ENV-CI;N02@ENV-D1;N03@ENV-CI;N03@ENV-D1;N04@ENV-CI;N04@ENV-D1,integration;security;unit;release,vitest:src/lib/server/rate-limit.test.ts;npm:test:subsystems;npm:check:production-config,screenshot;console-network-log;machine-readable-security-evidence;test-log;security-summary;gate-log;ci-run-url
QA-REQ-N-003,N,PDF access policy và renderer admission,Design/Security/ThreatModel.md,PDF renderer boundary,critical,QA/Security,N05@ENV-CI;N05@ENV-D1;N06@ENV-CI;N06@ENV-D1;N07@ENV-CI;N07@ENV-D1,integration;security;unit,vitest:src/app/api/pdf/__security__/pdf-access.fuzz.test.ts;npm:test:subsystems;npm:test:pdf-unit;npm:test:pdf-integration,screenshot;console-network-log;machine-readable-security-evidence;test-log;security-summary;integration-log;pdf-artifact;artifact-hash
QA-REQ-N-004,N,AI stream resource bounds,Design/Security/ThreatModel.md,T11,critical,QA/Security,N08@ENV-CI;N08@ENV-D1;N09@ENV-CI;N09@ENV-D1,integration;security;unit;performance,vitest:src/app/api/ai/__security__/ai-stream-bounds.fuzz.test.ts;npm:test:subsystems,screenshot;console-network-log;machine-readable-security-evidence;test-log;security-summary
QA-REQ-N-005,N,Diagnostics và sensitive logging,Design/Security/ThreatModel.md,Data Classification,critical,QA/Security,N10@ENV-CI;N10@ENV-D1;N11@ENV-CI;N11@ENV-D1;N12@ENV-CI;N12@ENV-D1,integration;security;unit,npm:test:subsystems,screenshot;console-network-log;machine-readable-security-evidence;actual-result;test-log;security-summary
QA-REQ-O-002,O,SBOM và container vulnerability gate,Design/Security/ThreatModel.md,T5,critical,Release Engineering,O03@ENV-CI;O04@ENV-CI,release;security,,screenshot;console-network-log;machine-readable-security-evidence
QA-REQ-O-003,O,Docker renderer isolation,Design/Security/ThreatModel.md,T3,critical,Release Engineering,O05@ENV-CI;O06@ENV-CI,release;security;unit;integration,script:scripts/test-pdf-integration.mjs;npm:test:pdf-unit;npm:test:pdf-integration,screenshot;console-network-log;machine-readable-security-evidence;actual-result;test-log;security-summary;integration-log;pdf-artifact;artifact-hash
QA-REQ-O-004,O,Canonical release evidence,Design/Conventions/TestStrategy.md,W36 mandatory release pipeline,critical,Release Engineering,O07@ENV-CI;O08@ENV-CI;O09@ENV-CI;O10@ENV-CI;O11@ENV-CI;O12@ENV-CI,release;security;integration;performance,script:scripts/check-supply-chain.mjs;script:scripts/generate-release-evidence.mjs;npm:check:production-config;npm:check:bundle;npm:qa:check,screenshot;console-network-log;machine-readable-security-evidence;actual-result;gate-log;ci-run-url;bundle-budget-json;qa-check-log;release-evidence-manifest
